departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Washington,-77.094,39.574,United States,Paris,2.916,49.021,France,6,6153
Rome,12.417,42.34,Italy,Paris,2.916,49.021,France,6,1045
Paris,2.916,49.021,France,Lisbon,-8.56,39.302,Portugal,6,1413
Paris,2.916,49.021,France,Milan,9.461,45.741,Italy,6,612
Paris,2.916,49.021,France,Houston,-94.903,30.64,United States,6,8012
Paris,2.916,49.021,France,Washington,-77.094,39.574,United States,6,6153
Paris,2.916,49.021,France,Rome,12.417,42.34,Italy,6,1045
Paris,2.916,49.021,France,BarcelonaS,2.13,41.495,Spain,6,839
BarcelonaS,2.13,41.495,Spain,Paris,2.916,49.021,France,6,839
Monrovia,-9.938,6.389,Liberia,Abidjan,-3.878,5.435,Cote d'Ivoire,6,678
Ouagadougou,-1.188,12.588,Burkina Faso,Brussels,4.807,51.502,Belgium,6,4360
Nairobi,37.545,-0.866,Kenya,Brussels,4.807,51.502,Belgium,6,6585
Lome,1.424,6.276,Togo,Brussels,4.807,51.502,Belgium,6,5038
Entebbe,32.739,0.07,Uganda,Brussels,4.807,51.502,Belgium,6,6290
Douala,10.199,4.01,Cameroon,Brussels,4.807,51.502,Belgium,6,5304
Brussels,4.807,51.502,Belgium,Monrovia,-9.938,6.389,Liberia,6,5197
Brussels,4.807,51.502,Belgium,Ouagadougou,-1.188,12.588,Burkina Faso,6,4360
Brussels,4.807,51.502,Belgium,Douala,10.199,4.01,Cameroon,6,5304
Brussels,4.807,51.502,Belgium,Bujumbura,29.53,-2.874,Burundi,6,6482
Brussels,4.807,51.502,Belgium,Banjul,-16.421,13.563,Gambia,6,4627
Brussels,4.807,51.502,Belgium,Abidjan,-3.878,5.435,Cote d'Ivoire,6,5184
Banjul,-16.421,13.563,Gambia,Brussels,4.807,51.502,Belgium,6,4627
Abidjan,-3.878,5.435,Cote d'Ivoire,Brussels,4.807,51.502,Belgium,6,5184
Vienna,16.949,48.183,Austria,BarcelonaS,2.13,41.495,Spain,6,1381
Salzburg,13.007,48.322,Austria,London,-0.103,51.795,United Kingdom,6,1010
London,-0.103,51.795,United Kingdom,Duesseldorf,7.277,51.482,Germany,6,510
Munich,12.31,48.589,Germany,Istanbul,29.357,41.628,Turkey,6,1540
London,-0.103,51.795,United Kingdom,Hamburg,10.647,54.05,Germany,6,762
London,-0.103,51.795,United Kingdom,Basel-Mulhouse-Freiburg,7.881,47.983,Switzerland,6,711
London,-0.103,51.795,United Kingdom,Salzburg,13.007,48.322,Austria,6,1010
Hamburg,10.647,54.05,Germany,London,-0.103,51.795,United Kingdom,6,762
Frankfurt,8.905,50.044,Germany,Vienna,16.949,48.183,Austria,6,620
Duesseldorf,7.277,51.482,Germany,London,-0.103,51.795,United Kingdom,6,510
Basel-Mulhouse-Freiburg,7.881,47.983,Switzerland,London,-0.103,51.795,United Kingdom,6,711
BarcelonaS,2.13,41.495,Spain,Vienna,16.949,48.183,Austria,6,1381
Montreal,-73.569,45.784,Canada,London,-0.103,51.795,United Kingdom,6,5191
Taipei,121.388,25.129,Taiwan,San Francisco,-121.959,38.031,United States,6,10379
